gene	Arabidopsis ID
LOC111983317	AT1G01020
LOC112009445	AT1G01020
LOC112034905	AT1G01020
LOC112036653	AT1G01040
LOC112036652	AT1G01050
LOC112036661	AT1G01060
LOC112008539	AT1G01080
LOC112009808	AT1G01080
LOC112008516	AT1G01090
LOC112008332	AT1G01110
LOC112008677	AT1G01110
LOC112041029	AT1G01120
LOC112008331	AT1G01120
LOC112019642	AT1G01140
LOC111993287	AT1G01140
LOC112036970	AT1G01140
LOC112027938	AT1G01170
LOC111993262	AT1G01180
LOC111993280	AT1G01180
LOC111993303	AT1G01180
LOC111983247	AT1G01200
LOC111983257	AT1G01220
LOC111998268	AT1G01220
LOC112032590	AT1G01220
LOC111983250	AT1G01225
LOC111983259	AT1G01230
LOC112005026	AT1G01250
LOC111989355	AT1G01260
LOC111989342	AT1G01280
LOC111989398	AT1G01290
LOC111989392	AT1G01300
LOC111999215	AT1G01310
LOC112036890	AT1G01310
LOC111989354	AT1G01320
LOC112036980	AT1G01320
LOC111988481	AT1G01340
LOC112001749	AT1G01340
LOC112040785	AT1G01340
LOC112005864	AT1G01350
LOC112026541	AT1G01350
LOC112038804	AT1G01350
LOC112010415	AT1G01360
LOC112036503	AT1G01370
LOC112016294	AT1G01380
LOC111986920	AT1G01420
LOC112014198	AT1G01430
LOC111984784	AT1G01470
LOC111986755	AT1G01490
LOC111997190	AT1G01490
LOC112032867	AT1G01490
LOC111986726	AT1G01510
LOC111986765	AT1G01540
LOC112027412	AT1G01540
LOC112037865	AT1G01540
LOC112004918	AT1G01550
LOC112004920	AT1G01550
LOC111984982	AT1G01580
LOC111985272	AT1G01580
LOC112001198	AT1G01580
LOC112038464	AT1G01580
LOC111989120	AT1G01590
LOC111992941	AT1G01590
LOC112020428	AT1G01590
LOC112026367	AT1G01600
LOC112034580	AT1G01610
LOC111985042	AT1G01630
LOC111997477	AT1G01630
LOC111997478	AT1G01630
LOC112034578	AT1G01650
LOC111986563	AT1G01690
LOC112025104	AT1G01690
LOC112030573	AT1G01690
LOC111986548	AT1G01700
LOC112010133	AT1G01710
LOC112035681	AT1G01710
LOC112000489	AT1G01720
LOC112035443	AT1G01720
LOC112035692	AT1G01720
LOC111999025	AT1G01730
LOC112035801	AT1G01730
LOC111983562	AT1G01760
LOC111989677	AT1G01760
LOC111997244	AT1G01760
LOC112020666	AT1G01760
LOC112007687	AT1G01770
LOC112035085	AT1G01770
LOC112007714	AT1G01780
LOC111999059	AT1G01800
LOC112003469	AT1G01800
LOC112003470	AT1G01800
LOC112003903	AT1G01800
LOC112007689	AT1G01800
LOC112022063	AT1G01800
LOC112010678	AT1G01820
LOC112025382	AT1G01840
LOC112025381	AT1G01860
LOC111985285	AT1G01880
LOC112002438	AT1G01880
LOC112025350	AT1G01880
LOC111989653	AT1G01910
LOC112020642	AT1G01910
LOC112031378	AT1G01910
LOC112020643	AT1G01920
LOC111993516	AT1G01920
LOC112008875	AT1G01930
LOC111995232	AT1G01940
LOC112008870	AT1G01940
LOC112014978	AT1G01940
LOC112008860	AT1G01950
LOC112021795	AT1G01960
LOC112036739	AT1G01960
LOC112038397	AT1G01960
LOC111999476	AT1G01970
LOC112027824	AT1G02010
LOC111988563	AT1G02020
LOC111997652	AT1G02040
LOC112025310	AT1G02060
LOC112035060	AT1G02065
LOC111994407	AT1G02070
LOC111994379	AT1G02080
LOC112022106	AT1G02080
LOC112029091	AT1G02080
LOC111989965	AT1G02090
LOC111990861	AT1G02090
LOC112000552	AT1G02090
LOC112036216	AT1G02090
LOC111991249	AT1G02100
LOC111995318	AT1G02100
LOC112029486	AT1G02100
LOC112038906	AT1G02100
LOC112040003	AT1G02100
LOC112005841	AT1G02120
LOC112027675	AT1G02120
LOC112038905	AT1G02120
LOC112018700	AT1G02130
LOC112023062	AT1G02130
LOC112006201	AT1G02140
LOC112008497	AT1G02140
