group	position	locus
LG1	0	LOC112025468
LG1	0	LOC112038645
LG1	0	NW_019815012.1-F000
LG1	0	NW_019818073.1-F001
LG1	0	NW_019825839.1-F000
LG1	0,137774153	LOC112027268
LG1	0,631460419	LOC112015075
LG1	0,6435748	NW_019807607.1-F000
LG1	0,839697858	LOC112015097
LG1	1,046629791	LOC112022266
LG1	1,222097062	NW_019827050.1-F000
LG1	1,348294667	LOC111991808
LG1	1,465865342	LOC111991794
LG1	1,506009197	LOC111991788
LG1	1,595190174	LOC112011048
LG1	1,628259432	LOC111984643
LG1	1,668031286	LOC112022303
LG1	1,668048758	NW_019809051.1-F000
LG1	1,786723788	LOC112040080
LG1	1,858344047	NW_019808416.1-F000
LG1	1,974979447	LOC112026519
LG1	1,980366892	LOC112026505
LG1	2,945549838	LOC112011338
LG1	3,270351294	LOC111988004
LG1	3,284291707	LOC112004679
LG1	3,299217531	LOC112004678
LG1	3,42207033	LOC112004665
LG1	3,5	LOC111997727
LG1	3,5	LOC111997759
LG1	3,5	LOC111997778
LG1	3,5	LOC111997937
LG1	3,5	LOC112004664
LG1	3,5	LOC112006414
LG1	3,5	LOC112033750
LG1	3,5	LOC112033751
LG1	3,5	LOC112038504
LG1	3,5	NW_019814939.1-F001
LG1	3,5	NW_019821383.1-F000
LG1	3,514185299	NW_019813484.1-F001
LG1	3,544116637	LOC112004760
LG1	3,602573124	LOC112004747
LG1	3,870059549	LOC111986339
LG1	3,948080019	LOC112027633
LG1	4,023132907	LOC112003919
LG1	4,132381245	NW_019813484.1-F000
LG1	5	LOC112019105
LG1	5	NW_019808248.1-F000
LG1	5,031254354	NW_019820741.1-F000
LG1	5,097083614	LOC112024483
LG1	6,305736692	LOC112026062
LG1	6,970988025	LOC112036095
LG1	7,51319851	LOC111987384
LG1	7,601297774	LOC111987365
LG1	7,713304475	LOC111998077
LG1	7,748330073	LOC111998076
LG1	7,756279999	LOC111998075
LG1	7,919081898	LOC112004728
LG1	8,163355427	LOC111996226
LG1	8,196249158	NW_019820855.1-F000
LG1	9	LOC112000131
LG1	9,133594068	LOC112002880
LG1	9,231694629	LOC112002884
LG1	9,345806261	LOC112015283
LG1	9,438992945	LOC112008397
LG1	9,584947795	LOC111992708
LG1	9,640748757	LOC111987564
LG1	12,40969109	NW_019812340.1-F000
LG1	13,85030247	LOC111996756
LG1	13,85458448	LOC111996726
LG1	13,96694384	LOC112019931
LG1	13,98333179	LOC111996722
LG1	13,99564316	LOC111996723
LG1	14,1825399	LOC111988647
LG1	14,18462687	NW_019824557.1-F000
LG1	14,34234683	LOC112011607
LG1	14,35375518	LOC111996223
LG1	14,65940172	LOC112020066
LG1	15,09526981	LOC112004910
LG1	15,33474871	NW_019816388.1-F000
LG1	15,40150985	LOC111984627
LG1	15,41037317	LOC111984640
LG1	15,428657	LOC111984630
LG1	15,42866776	NW_019819784.1-F000
LG1	15,48922737	NW_019808503.1-F000
LG1	15,64258872	NW_019807736.1-F000
LG1	15,68610347	LOC112022745
LG1	15,74423313	LOC112024531
LG1	15,77725602	LOC112022733
LG1	15,78947242	LOC112022718
LG1	15,88564301	LOC112022751
LG1	15,95424048	LOC112022710
LG1	15,97158229	LOC111985174
LG1	18,35519916	LOC112023404
LG1	18,46397394	NW_019809558.1-F000
LG1	18,5109358	LOC111994048
LG1	18,55300668	NW_019817673.1-F000
LG1	18,70478527	LOC112004718
LG1	18,71721302	LOC112004714
LG1	18,8	LOC112023411
LG1	18,82762406	NW_019809558.1-F001
LG1	18,92003377	LOC111987419
LG1	19,28250194	LOC112028023
LG1	19,3148715	LOC112028056
LG1	20,73767819	NW_019818383.1-F000
LG1	20,73799611	LOC111989590
LG1	20,79888569	LOC111989579
LG1	20,86144838	LOC112035800
LG1	21,07187532	LOC112034685
LG1	21,10387291	LOC112034692
LG1	21,13056475	LOC112034693
LG1	21,39202244	LOC112039543
LG1	21,9905986	LOC112025404
LG1	22,04401679	LOC111988884
LG1	22,13975702	LOC112030746
LG1	22,3154326	LOC112030744
LG1	22,55000616	LOC111988895
LG1	22,57643009	LOC111984810
LG1	22,58393773	LOC111988876
LG1	22,60191271	NW_019816392.1-F000
LG1	22,79229902	LOC111984863
LG1	22,91117538	NW_019808798.1-F000
LG1	22,93499068	LOC111988879
LG1	22,93940364	LOC112008997
LG1	23,07135478	LOC112012566
LG1	23,11665554	LOC112012560
LG1	23,23809546	NW_019818172.1-F000
LG1	23,32597198	LOC111997811
LG1	23,3999283	LOC111997815
LG1	23,59973957	LOC112035633
LG1	23,6	NW_019824692.1-F000
LG1	23,60706024	LOC112035616
LG1	23,66269195	NW_019820781.1-F001
LG1	23,66459472	LOC111995992
LG1	23,95671694	LOC112004343
LG1	24,02560311	LOC112010045
LG1	24,35269703	LOC112028239
LG1	24,50487801	LOC112028238
LG1	24,7303409	LOC111998404
LG1	24,79672134	LOC112009318
LG1	24,88003637	LOC112009304
LG1	24,94031384	LOC112009326
LG1	25,4790591	LOC112040745
LG1	25,95152288	LOC112040823
LG1	26,2932912	LOC112040752
LG1	27,5	LOC111999656
LG1	27,5	LOC111999658
LG1	27,52859085	LOC112019204
LG1	29,98613961	LOC111988235
LG1	30,18249513	NW_019820010.1-F000
LG1	30,23462064	NW_019816371.1-F000
LG1	31,11534083	NW_019826558.1-F000
LG1	32,20337527	NW_019814899.1-F000
LG1	32,96451207	LOC112016923
LG1	33,1658002	LOC112016933
LG1	33,56195697	NW_019814899.1-F001
